English Sentence,Amharic Sentence
The Israeli Air Force launches an attack against tunnels leading from Gaza into Israel in response to missile attacks and mortar fire.,የእስራኤል አየር ሃይል የተቃጣበትን የሚሳኤል እና የሞርታር ጥቃት ማላሽ ነው ሲል በጋዛ ሰርጥ ላይ ጥቃት መፈፀም ጀመረ።
"Atheist Ireland purposefully publishes the words of Jesus Christ, Muhammad, Salman Rushdie, Mark Twain and Pope Benedict XVI on its website despite a new law banning them on grounds of blasphemy.",አምላክ የለሽ አየርላንድ የኢየሱስ ክርስቶስን፣ መሐመድን፣ ሳልማን ራሽዲን፣ ማርክ ትዌንን እና ርዕሰ ሊቃነ ጳጳሳት ቤኔዲክት 16ኛን ንግግሮችን ማተም ስድብ በመሆኑ ምክንያት አዲሱ ህግ ቢከለክለውም ሆን ብሎ በድረ-ገጹ ላይ አሳትሟል።
Egyptian archaeologists discover the largest tomb yet discovered in the ancient Saqqara necropolis.,የግብፅ የቁፋሮ ተመራማሪዎች በቀደምት የሳቃራ መካነ መቃብር በጣም ትልቅ የሆነ አዲስ የመቃብር ስፍራ አገኙ።
"A diesel fuel leak in Shaanxi, China reaches the Yellow River, a water source for millions of people.",በሻንቺ ፣ ቻይና ውስጥ የተከሰተው የናፍጣ ነዳጅ መፍሰስ በሚሊዮኖች ለሚቆጠሩ ሰዎች የውሃ ምንጭ ወደሆነው የሎው ወንዝ ደረሰ።
"Slovakia admits responsibility for a major bomb alert on Dorset Street in Dublin, Ireland, after planting explosives on a civilian as a test.",ስሎቫኪያ በአየርላንዷ ዱብሊን ከተማ ዶርሴት መንገድ ላይ ንፁሃን ሰዎች ባሉበት አካባቢ ስለጠቃጣው የፈንጂ አደጋ ሀላፊነቱን እንደምትወስድ አስታወቀች።
A weekend killing in Australia has prompted the Indian government to issue an advisory for its college students studying in that country.,በአውስትራሊያ በሳምንቱ መጨረሻ ላይ የተፈጸመው ግድያ የህንድ መንግስት በዚያ ሀገር ለሚማሩ የኮሌጅ ተማሪዎቿ ምክር እንድትሰጥ አነሳስቷል።
"Sékouba Konaté, the interim head of the junta in Guinea, is flown to Senegal after falling ill.",ሴኮባ ኮናቴ ጊኒ ውስጥ የሚገኝ ጁንታ ጊዜያዊ መሪ በመታመሙ ወደ ሴኔጋል ተወሰደ።
South African President Jacob Zuma urges party unity and warns economic recovery will be slow at a gathering celebrating the 98th anniversary of the African National Congress.,የደቡብ አፍሪካው ፕሬዚደንት ጃኮብ ዙማ የፓርቲያቸው የአፍሪካ ህብረት ኮንግረስ የ98ኛ አመት ክብረ በዓል ላይ ከኢኪኖሚያዊው ጫና የሚያገግሙበት አካሄድ እየዘገየ እንደሆነ አስጠነቀቁ።
The Confederation of African Football announces that football matches will continue to be played in Cabinda Province where the attack took place.,የአፍሪካ እግር ኳስ ኮንፌዴሬሽን ጥቃቱ በተፈጸመበት በካቢንዳ ግዛት የእግር ኳስ ጨዋታዎች እንደሚቀጥሉ አስታወቀ።
"Wolfgang Wodarg, the Council of Europe's head of health affairs, claims that the 2009 flu pandemic was a ""false pandemic"" orchestrated by the pharmaceutical industry to sell vaccines.",የአውሮፓ የጤንነት ካውንስል መሪ የሆነው ዎልፍጋንገ ዎዳርግ የ2009 የጉንፋን ወረርሽኝ በመዳኒት አቅራቢዎች ክትባቶችን ለመሸጥ ሲባል የተቀነባበረ የውሸት ወረርሽኝ እንደሆነ ተናገሩ።
